,Cycle GANphoto2ukiyoe DAVIS,,,,,,,,,,,,,,,,,,,CycleGANphoto2ukiyoe_videvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spatial,,,,,,Composited Spatiotemporal ,,,Temporal,,,,,,,,,,LPIPS,,,Composited Spatiotemporal ,,,Temporal,,,,,,,,,,,,,,,,,,,,,,,,,
video indx,Lai et al.£¨LPIPS£©,IOU,Bonneel et al.£¨LPIPS£©,IOU,TDMS-Net£¨LPIPS£©,IOU,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Dt,Bonneel et al.,Dt,TDMS-Net,Dt,Pre-Processed,,,video indx,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Bonneel et al.,TDMS-Net,Lai et al.,Dt,Bonneel et al.,Dt,TDMS-Net,Dt,Pre-Processed,,,,,,,,,,,,,,,,,,,
13 ,0.0194 ,0.6673 ,0.1268 ,0.6719 ,0.0206 ,0.6708 ,0.5267 ,0.4708 ,0.5233 ,0.0049 ,0.2294 ,0.0053 ,0.1691 ,0.0049 ,0.2215 ,0.0063 ,,,13 ,0.0348 ,0.1764 ,0.0594 ,0.6633 ,0.6615 ,0.6741 ,0.0039 ,0.3615 ,0.0031 ,0.4994 ,0.0036 ,0.4075 ,0.0061 ,,,,,,,,,,,,,,,,,,,
14 ,0.0211 ,0.7302 ,0.0717 ,0.7415 ,0.0239 ,0.7292 ,0.5919 ,0.5525 ,0.6137 ,0.0018 ,0.3293 ,0.0019 ,0.2700 ,0.0017 ,0.3748 ,0.0027 ,,,14 ,0.0289 ,0.2081 ,0.1053 ,0.7177 ,0.6797 ,0.7889 ,0.0028 ,0.4644 ,0.0023 ,0.5675 ,0.0017 ,0.6831 ,0.0052 ,,,,,,,,,,,,,,,,,,,
15 ,0.0470 ,0.5741 ,0.1403 ,0.6283 ,0.1350 ,0.5706 ,0.7028 ,0.6821 ,0.7946 ,0.0023 ,0.6420 ,0.0024 ,0.6203 ,0.0008 ,0.8713 ,0.0064 ,,,15 ,0.0446 ,0.0985 ,0.1867 ,0.7700 ,0.7495 ,0.8353 ,0.0009 ,0.5846 ,0.0009 ,0.5975 ,0.0003 ,0.8574 ,0.0022 ,,,,,,,,,,,,,,,,,,,
16 ,0.0289 ,0.6392 ,0.1060 ,0.6199 ,0.0455 ,0.6473 ,0.6299 ,0.6574 ,0.6662 ,0.0023 ,0.4546 ,0.0019 ,0.5579 ,0.0020 ,0.5314 ,0.0043 ,,,16 ,0.0255 ,0.2433 ,0.0724 ,0.6778 ,0.6222 ,0.7046 ,0.0056 ,0.3810 ,0.0046 ,0.4877 ,0.0047 ,0.4816 ,0.0090 ,,,,,,,,,,,,,,,,,,,
17 ,0.0269 ,0.4116 ,0.1440 ,0.4241 ,0.0387 ,0.4122 ,0.5404 ,0.5840 ,0.5836 ,0.0024 ,0.3884 ,0.0018 ,0.5280 ,0.0020 ,0.4805 ,0.0039 ,,,17 ,0.0228 ,0.1060 ,0.0697 ,0.7236 ,0.7278 ,0.8310 ,0.0010 ,0.4701 ,0.0008 ,0.5617 ,0.0005 ,0.7316 ,0.0019 ,,,,,,,,,,,,,,,,,,,
18 ,0.0300 ,0.5326 ,0.0928 ,0.5251 ,0.0703 ,0.5316 ,0.6515 ,0.6723 ,0.7556 ,0.0009 ,0.5518 ,0.0007 ,0.6284 ,0.0004 ,0.7805 ,0.0020 ,,,18 ,0.0165 ,0.1303 ,0.0333 ,0.6758 ,0.6933 ,0.7434 ,0.0024 ,0.3681 ,0.0018 ,0.5170 ,0.0018 ,0.5201 ,0.0038 ,,,,,,,,,,,,,,,,,,,
19 ,0.0368 ,0.1989 ,0.1936 ,0.2370 ,0.0651 ,0.1966 ,0.5228 ,0.4931 ,0.5717 ,0.0026 ,0.4646 ,0.0026 ,0.4646 ,0.0020 ,0.5776 ,0.0048 ,,,19 ,0.0234 ,0.1028 ,0.1013 ,0.6974 ,0.6927 ,0.7857 ,0.0017 ,0.4182 ,0.0015 ,0.4883 ,0.0010 ,0.6727 ,0.0030 ,,,,,,,,,,,,,,,,,,,
20 ,0.0228 ,0.4238 ,0.1147 ,0.4133 ,0.0346 ,0.4218 ,0.5370 ,0.4081 ,0.5805 ,0.0026 ,0.3735 ,0.0034 ,0.1668 ,0.0022 ,0.4673 ,0.0041 ,,,20 ,0.0221 ,0.1282 ,0.0793 ,0.7071 ,0.7184 ,0.8116 ,0.0016 ,0.4364 ,0.0012 ,0.5650 ,0.0008 ,0.7024 ,0.0029 ,,,,,,,,,,,,,,,,,,,
21 ,0.0227 ,0.5089 ,0.1361 ,0.5110 ,0.0239 ,0.5039 ,0.5421 ,0.5516 ,0.5402 ,0.0027 ,0.3411 ,0.0024 ,0.4157 ,0.0027 ,0.3403 ,0.0040 ,,,ave,0.0223 ,0.1469 ,0.0747 ,0.6873 ,0.6748 ,0.7569 ,0.0025 ,0.3969 ,0.0021 ,0.4966 ,0.0018 ,0.5884 ,0.0041 ,,,,,,,,,,,,,,,,,,,
22 ,0.0208 ,0.5114 ,0.0982 ,0.4838 ,0.0304 ,0.5016 ,0.5519 ,0.5833 ,0.5980 ,0.0021 ,0.3586 ,0.0017 ,0.4738 ,0.0018 ,0.4604 ,0.0033 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 ,0.0472 ,0.4659 ,0.1537 ,0.4666 ,0.1072 ,0.4639 ,0.6324 ,0.6169 ,0.6961 ,0.0020 ,0.5554 ,0.0019 ,0.5774 ,0.0013 ,0.7139 ,0.0046 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
